Primary ID,Number,Metabolite,Super Class,Class,Sub_Class,VIP 1,VIP 2
LivPos_C0563,105,PC(42:9)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.91254,1.33639
LivPos_C0202,693,Trihydroxycholestanoic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.90662,0.856289
LivPos_C0385,1080,SM(42:2),Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,1.90096,1.0416
LivNeg_C472,372,PC(32:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.89448,1.15621
LivNeg_C714,523,FAHFA(34:1),Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.89059,1.2905
LivPos_C1334,490,prostaglandin_5,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,1.89033,1.53655
LivPos_C1811,550,N-docosanoyl taurine,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1.8864,1.41738
LivNeg_C126,209,PI(38:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.86867,1.47532
LivPos_C0205,827,PC(44:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.86523,1.45864
LivNeg_C575,1069,FAHFA(32:0),Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.86412,1.10461
LivPos_C1198,593,Oleoyl-L-carnitine,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1.85938,1.09727
LivNeg_C092,216,palmitoyl-Cer(34:1)_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1.85357,1.35814
LivPos_C1849,980,Tomatidine,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,1.84123,1.31923
LivPos_C1348,1209,PC(40:10),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.83856,1.23133
LivPos_C0979,1258,PS(40:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.83806,1.23916
LivNeg_C054,1017,PS(43:6),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.83619,1.34446
LivNeg_C331,837,sn-glycero-3-phosphoserine_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.83236,1.52078
LivPos_C1812,387,Gallamine,Organic compounds,Benzenoids,Phenol ethers,1.81854,1.22843
LivPos_C0917,630,N-octacosanoyl-15-methylhexadecasphing-4-enine-1-phosphocholine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,1.81512,1.43737
LivPos_C0868,304,D-galactosyl-N-tetracosanoylsphinganine_1,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.81364,0.830541
LivPos_C1245,735,DG(40:3)_1,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.80586,1.29619
LivGC_C044,647,Glycerophosphoglycerol,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,1.79892,1.40283
LivNeg_C443,685,PS(44:7)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.79074,1.47142
LivPos_C0241,1193,PE(38:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.78982,1.52115
LivNeg_C110,1183,PC(35:3),Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.7709,1.63558
LivNeg_C055,350,PS(41:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.76181,1.40211
LivPos_C0726,438,Dimethyl-7-ethylazulene,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,1.76068,1.32822
LivGC_C018,71,Taurine,Organic acids and derivatives,Organic sulfonic acids and derivatives,rganosulfonic acids and derivatives,1.75521,0.799603
LivPos_C1572,138,Glycero-3-phosphoserine,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.75086,1.30864
LivNeg_C044,1135,Docosahexaenoic acid_6,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.75052,1.5067
LivPos_C0081,143,Cholic acid_2,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.74952,1.10919
LivGC_C149,684,Hydrogen sulfide,Homogeneous non-metal compounds,Other non-metal organides,Other non-metal sulfides,1.74215,1.05739
LivPos_C0705,1113,PC(36:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.73683,1.61568
LivPos_C1241,259,Methacholine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,1.73267,0.989606
LivPos_C0333,634,"L-Proline, 4-cyclohexyl-, (4S)-",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.71442,0.983392
LivPos_C0164,317,Trihydroxy-5b-cholanoic acid_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.71199,1.12097
LivNeg_C499,1212,Octadecenoyl-glycero-phospho-glycerol_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.71182,1.54688
LivNeg_C063,748,PE(38:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.70601,1.51169
LivPos_C0993,79,PE(44:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.69936,1.32116
LivNeg_C352,1035,PI(40:5)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.69929,1.20671
LivPos_C0364,1201,PS(38:3)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.69672,0.970599
LivPos_C0113,625,deoxycholic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.69176,1.20407
LivNeg_C196,34,Cucurbitacin F,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cucurbitacins,1.68731,1.54351
LivPos_C0244,953,PC(36:3)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.67141,1.18021
LivPos_C1187,558,PS(42:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.666,0.693332
LivNeg_C638,771,Oleic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.66508,1.48163
LivGC_C459,588,Allantoin,Organoheterocyclic compounds,Azoles,Imidazoles,1.65634,1.47502
LivPos_C0422,1079,Alpha-Linoleoylcholine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,1.65543,1.44276
LivPos_C0918,91,Dipalmitin_1,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.65513,0.968469
LivPos_C0483,628,9-cis-Retinoic acid,Lipids and lipid-like molecules,Prenol lipids,Retinoids,1.6505,1.20604
LivPos_C0638,73,GlcCer(41:2)_1,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.65032,1.42823
LivPos_C0525,1166,Tetracosanoic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.64849,0.733903
LivNeg_C227,2,PI(36:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.63973,1.55528
LivNeg_C699,983,PG(36:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.63276,1.31122
LivPos_C0609,270,GlcCer(40:1)_1,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.62645,1.24148
LivNeg_C176,366,PG(40:7),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.62576,1.59405
LivNeg_C731,1228,Antibiotic KA 7038I;Istamycin A;Sannamycin A,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1.62429,0.827165
LivPos_C0442,450,SM(36:2),Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,1.61339,1.02386
LivNeg_C657,1097,Tetrahydroxy cholanoic acid_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.59209,1.28503
LivNeg_C704,503,PG(38:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.58664,1.35197
LivPos_C0128,445,alpha-tocopherol,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,1.58474,1.51152
LivPos_C0097,548,N-Arachidonyldopamine,Benzenoids,Phenols,Benzenediols,1.58,1.32615
LivNeg_C166,407,Eicosatrienoic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.57531,1.62358
LivNeg_C252,341,Docosahexaenoic acid_7,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.57178,1.4842
LivPos_C1585,877,Diamino-4-hydroxy-5-N-methylformamidopyrimidine_1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,1.56817,1.41678
LivNeg_C662,137,Dihydroxy-3-oxo-4-cholenoic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.55576,1.3046
LivNeg_C388,1102,PC(42:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.55331,1.1475
LivNeg_C442,413,PI(38:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.5508,1.37479
LivNeg_C128,342,PA(40:7),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,1.54961,1.73589
LivNeg_C065,1107,PC(34:2)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.54885,1.65573
LivPos_C0441,1221,PE(34:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.54294,1.47423
LivPos_C0077,912,CE(18:2),CE(16:1(9Z)),Lipids and lipid-like molecules,Steroids and steroid derivatives,1.5417,1.73532
LivPos_C0787,526,Gamma-glutamyl-Glutamine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.53992,1.52272
LivNeg_C444,597,PG(36:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.53266,1.21811
LivNeg_C803,163,LysoPE(20:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.52168,1.71109
LivPos_C0587,220,"3'-Hydroxy-5,6,7,4'-tetramethoxyflavone",Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,1.52149,1.50388
LivPos_C0980,1207,PC(40:7),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.51635,1.59711
LivNeg_C822,613,PC(15:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.51041,1.58447
LivNeg_C062,903,Glucosylceramide,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.5084,1.64153
LivNeg_C308,370,PC(44:12)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.50689,1.645
LivNeg_C370,84,Eicosadienoic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.5051,1.43023
LivNeg_C548,200,PS(44:7)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.50007,0.909014
LivPos_C1095,85,palmitoyl-Cer(34:1)_2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1.49134,1.851
LivPos_C1088,1007,PC(42:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.48266,1.53967
LivPos_C1142,890,PE(36:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.48259,1.74917
LivNeg_C809,774,PG(16:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.48148,0.824773
LivNeg_C556,940,N-hexacosanoyl-4-hydroxy-15-methylhexadecasphinganine,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,1.48058,1.91731
LivNeg_C238,547,PS(39:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.47907,1.2812
LivPos_C1458,1152,Cer(36:0),Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.47901,1.59181
LivNeg_C367,3,PE(38:4)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.47615,1.08334
LivNeg_C282,1202,PS(44:7)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.47503,1.21744
LivPos_C0363,786,"Dinorergosta-5,22-dien-3-ol",Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,1.47385,1.8963
LivNeg_C434,302,PI(38:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.46983,1.56104
LivNeg_C008,517,acetylenedicarboxylate_1,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,1.46778,1.51679
LivNeg_C437,669,PG(40:6),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.46497,1.77473
LivNeg_C043,352,Glucosylceramide (34:1)_2,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.46226,1.8171
LivPos_C0565,612,CL(80:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,1.45892,1.61376
LivPos_C0549,1199,PS(36:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.45351,1.52211
LivGC_C001,609,Maltose_1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1.44267,1.29345
LivPos_C0229,781,CL(78:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,1.44189,1.58888
LivNeg_C291,1005,PC(38:6)_3,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.44015,1.37781
LivNeg_C373,662,Eicosenoic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.4376,2.03531
LivPos_C0365,943,PE(44:7),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.43116,1.58845
LivNeg_C651,673,"3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid_1",Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.42485,1.31849
LivPos_C0748,743,PG(41:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.42433,1.04346
LivPos_C0372,133,PC(40:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.42275,0.718074
LivPos_C0071,343,Cholic acid_3,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.40797,1.16755
LivNeg_C691,626,PS(39:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.40589,1.79431
LivPos_C1225,663,PC(36:5)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.40238,1.94053
LivNeg_C297,469,Stearic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.39759,1.63193
LivPos_C0455,945,PC(40:8),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.39637,1.09082
LivPos_C0529,315,GlcCer(42:1)_1,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.39515,1.43498
LivPos_C0090,1144,PC(42:4),Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.39117,0.820328
LivPos_C0390,118,Vitamin A,Lipids and lipid-like molecules,Prenol lipids,Retinoids,1.38837,1.33985
LivNeg_C064,106,PS(40:6)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.38761,1.44087
LivPos_C0461,1057,PS(37:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.38589,1.6851
LivPos_C1383,677,PC(42:11)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.37977,0.948826
LivPos_C0839,1227,"3-Decaprenyl-4,5-dihydroxybenzoate",Lipids and lipid-like molecules,Prenol lipids,Polyprenylphenols,1.37327,1.06503
LivNeg_C705,456,PG(34:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.3719,1.21089
LivPos_C0992,57,DG(43:4),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.3675,2.04801
LivNeg_C114,866,CDP-DG(40:0),Lipids and lipid-like molecules,Glycerophospholipids,CDP-glycerols,1.35915,1.81435
LivPos_C1223,108,PS(42:8),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.35077,1.20631
LivPos_C0323,1049,PE(42:4)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.34723,1.80182
LivPos_C1265,1233,Alkyl-2-acylglycerol,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,1.34712,2.03039
LivGC_C002,339,Maltose_2,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1.34669,1.20479
LivNeg_C462,909,PE(38:4)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.33659,1.77007
LivPos_C0026,253,chenodeoxycholic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.3324,1.89598
LivPos_C0608,791,SM(41:1),Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,1.32887,1.01593
LivNeg_C251,475,Adrenic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.32831,1.11451
LivNeg_C801,460,DiHDPA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.32404,1.65459
LivNeg_C085,45,Naphthomycinol,Phenylpropanoids and polyketides,Macrolactams,,1.32202,2.04675
LivNeg_C723,883,PE(40:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.3212,1.57179
LivNeg_C396,110,Palmitic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.31894,1.49151
LivNeg_C698,1047,PG(32:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.31218,1.6059
LivPos_C0398,930,PE(38:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.31095,1.59379
LivNeg_C300,303,"3-nonaprenyl-4,5-dihydroxybenzoic acid",Lipids and lipid-like molecules,Prenol lipids,Polyprenylphenols,1.2851,1.49255
LivNeg_C030,408,PI(36:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.28354,1.41228
LivNeg_C353,1087,Cyanopeptolin D,Organic acids and derivatives,Peptidomimetics,Depsipeptides,1.28351,1.27909
LivNeg_C281,643,PG(36:3)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.28025,1.28146
LivNeg_C018,1259,LysoPC(18:1)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.27709,1.12471
LivPos_C0421,582,C17 sphingosine,Organic nitrogen compounds,Organonitrogen compounds,Amines,1.27416,1.75648
LivNeg_C231,479,PS(38:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.273,1.61145
LivPos_C0087,227,Corchoionol C 9-glucoside,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,1.26901,1.68456
LivPos_C0001,835,PE(42:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.26687,1.43268
LivNeg_C168,516,Linoleic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,1.26651,1.39597
LivNeg_C656,1181,N-Undecanoylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.26622,1.57035
LivPos_C0490,957,Erucic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.26399,1.55849
LivNeg_C457,690,possible steroidal saponin,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,1.25745,1.91149
LivPos_C0353,863,Ubiquinol_4,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,1.25699,1.11862
LivNeg_C179,367,PG(36:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.25304,1.65811
LivNeg_C328,873,Benzyl beta-primeveroside,Organic oxygen compounds,Organooxygen compounds,arbohydrates and carbohydrate conjugates,1.24865,1.81183
LivNeg_C036,553,PS(19:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.24466,0.828421
